Codigo de Barras,Nombre del Material,Cantidad
0541595,F3 FUENTE DE PODER GW INSTEK/GPS-3303 GEP811202,1
0541596,F2 FUENTE DE PODER GW INSTEK/GPS-3303 GEP811199,1
0541594,F9 FUENTE DE PODER GW INSTEK/GPS-3303 GEP811195,1
0541593,F10 FUENTE DE PODER GW INSTEK/GPS-3303 GEP811196,1
0541598,F4 FUENTE DE PODER GW INSTEK/GPS-3303 GE0927227,1
0436457,F6 FUENTE DE ENERGÍA MATROX/MPS3003D D8060225,1
0436458,F11 FUENTE DE ENERGÍA MATROX/MPS30030 D8030495,1
0152044,F8 LEYBOLD 521 546 14120191,1
0152043,F7 LEYBOLD 521 546 14120191 F7,1
34PTBS1052B'EDU C051040,O1 TEKTRONIX TBS1052B-EDU C051040,1
34PTBS1052B c042062,O5 TEKTRONIX TBS1052B-EDU C042062,1
34PTBS1052B c042068,O10 TEKTRONIX TBS1052B-EDU C042068,1
34PTBS1052B c042064,O6 TEKTRONIX TBS1052B-EDU C042064,1
34PTBS1042 c030432,O2 TEKTRONIX TBS1042 C030432,1
34PTBS1052B'EDU c051035,O3 TEKTRONIX TBS1052B-EDU C051035,1
34PTBS1052B c042066,O4 TEKTRONIX TBS1052B-EDU C042066,1
34PTBS1052B'EDU c051033,O9 TEKTRONIX TBS1052B-EDU C051033,1
34PTBS1052B'EDU c051325,O8 TEKTRONIX TBS1052B-EDU C051325,1
0663169,G6 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A18257,1
0663170,G10 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A18256,1
0541877,G9 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15253,1
0541876,G3 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15254,1
0663168,G8 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15258,1
0541608,G2 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15256,1
0663171,G7 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A18255,1
0541878,G4 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15278,1
0541605,G11 GENERADOR BK PRECISION/DE FUNCIONES 4005DDS 305A15280,1
0436504,G14 GENERADOR DE FUNCIONES MATROX/MFG8250A GE01038,1
0436505,GX GENERADOR DE FUNCIONES SIN MARCA/5MHZ G001026,1
0541649,G1 EQUIPO DE LABORATORIO INSTEK/SFG 1013 GCQ851442,1
0541652,G12 EQUIPO DE LABORATORIO INSTEK/SFG 1013 GCQ851443,1
0541650,G5 EQUIPO DE LABORATORIO INSTEK/SFG 1013 GCQ851422,1
